1;23;1;3;;;2;;1;3;3;3;3;4;80;90;95;81;79;95;88;98;85;94;87
2;17;2;2;;;;;7;4;4;4;4;4;;100;70;80;90;90;80;80;100;100;80
3;18;2;1;;;1;;9;3;2;4;4;2;70;60;80;90;80;90;90;100;100;90;80
4;18;2;2;2;;2;;18;4;2;2;2;4;100;90;60;100;90;80;70;80;100;100;100
5;18;2;2;2;;2;;17;3;3;4;4;2;70;70;70;90;80;100;80;80;70;70;70
6;18;2;1;2;;3;104;7;4;4;2;4;1;75;80;60;60;70;80;100;70;60;80;90
7;20;1;2;1;;1;;24;2;4;3;3;;70;80;80;80;70;80;70;70;80;90;80
8;17;1;3;;;2;;1;3;3;4;4;4;65;65;99;80;95;100;95;100;75;100;100
9;18;2;2;2;;2;;7;4;4;2;2;;88;90;90;100;70;70;80;90;70;100;80
10;18;1;1;;;3;94;7;2;3;3;2;2;60;60;60;60;60;80;70;70;80;80;70
11;20;1;3;1;;3;104;9;4;4;2;;;80;60;70;60;70;100;80;90;100;100;100
12;16;2;1;2;;1;;18;2;1;4;4;2;83;75;100;80;80;100;86;95;94;80;100
13;17;1;4;2;77;2;;9;4;4;4;3;;80;58;78;68;70;96;80;89;70;80;94
14;17;2;2;;;;;1;4;2;4;3;;70;80;90;86;88;79;90;80;84;80;90
15;17;2;2;2;;2;;9;2;2;4;3;2;80;100;90;70;65;100;70;100;100;100;40
16;17;2;1;2;;2;;17;3;2;3;4;4;85;80;85;98;80;80;90;90;70;100;100
17;19;2;3;1;;3;94;7;2;2;2;2;4;90;70;80;70;70;80;80;70;90;90;90
18;18;2;1;2;;1;;18;2;2;4;2;;90;83;80;82;87;87;87;93;78;85;80
19;16;2;1;2;;2;;1;3;3;4;4;4;89;88;98;84;85;85;93;96;85;86;90
20;18;2;1;3;41;3;94;1;3;3;2;4;2;100;90;100;90;80;100;100;100;100;90;80
21;18;1;2;2;;3;104;1;1;2;4;3;3;80;80;80;70;80;100;80;80;90;90;80
22;21;2;2;2;;2;;18;2;2;2;4;4;75;85;60;90;95;80;83;78;78;83;82
23;21;1;1;;;3;104;17;2;4;2;2;4;80;80;70;90;90;90;80;70;70;90;90
24;21;1;1;;;;;17;2;2;3;3;2;70;80;63;73;85;;65;63;75;80;90
25;18;1;3;1;;2;;9;2;3;4;3;;60;70;80;60;90;;90;100;70;70;80
26;17;2;4;3;55;3;22;9;3;3;3;3;2;73;69;65;71;70;99;75;80;72;100;85
27;17;2;4;2;;3;83;9;4;4;4;3;2;70;60;60;60;60;68;85;90;98;100;90
28;17;1;4;3;55;3;92;1;3;3;2;;;70;75;68;75;60;90;70;75;66;70;70
29;17;1;4;3;55;2;;1;3;4;3;;;50;60;70;60;45;85;65;60;50;70;80
30;18;1;4;2;;1;;1;3;3;3;;;65;70;75;60;50;80;70;65;65;75;80
31;17;2;;;;2;;7;2;2;4;2;;85;65;60;75;70;100;80;80;75;95;100
32;17;1;4;3;97;3;83;17;4;4;4;4;4;85;74;75;90;82;80;80;82;75;85;75
33;18;1;4;2;;3;68;18;4;2;2;4;;80;70;70;80;80;90;70;80;90;90;70
34;18;1;3;3;;3;103;1;3;3;3;2;;70;80;85;80;65;90;65;70;80;90;80
35;17;1;;2;60;2;;9;4;4;4;4;;70;60;70;80;80;100;90;80;90;100;90
36;17;2;4;3;66;3;23;17;2;4;2;;;90;74;78;90;93;75;83;87;90;95;95
37;17;2;4;3;17;2;;18;2;2;2;2;2;85;75;75;80;85;100;80;80;85;90;80
38;17;1;4;3;47;3;97;12;3;3;3;;;50;40;50;60;50;80;60;60;50;70;70
39;18;2;4;3;83;3;22;7;2;4;2;4;2;70;70;70;70;80;70;60;70;90;60;80
40;17;1;2;;;2;;17;3;4;4;3;;92;90;100;80;80;90;90;90;80;60;90
41;18;2;4;2;;2;;7;2;4;4;2;3;85;80;100;75;97;93;100;90;80;60;80
42;17;1;2;;;2;;1;3;3;3;3;;72;76;90;80;68;90;76;95;95;62;96
43;18;1;1;;;;;24;4;3;4;4;;65;50;68;63;65;70;25;75;63;63;60
44;20;2;2;1;;1;;9;4;4;4;;;71;70;71;52;57;64;81;78;82;71;78
45;17;1;2;2;;3;83;24;2;3;4;3;2;80;80;90;70;80;90;70;100;90;60;70
46;17;2;1;2;;2;;10;2;2;2;;;80;70;70;55;70;60;80;90;90;45;90
47;18;2;3;2;;2;;18;3;2;2;;;84;63;66;60;70;80;74;81;65;60;86
48;22;2;3;2;;2;;10;2;2;2;;;90;83;86;63;69;90;95;79;78;63;90
49;17;1;3;2;;2;;1;3;3;2;;;74;53;78;63;73;76;82;86;81;66;71
50;18;2;3;2;;2;;9;3;4;3;4;;100;88;87;80;90;;100;83;73;65;90
51;17;1;3;3;85;2;;18;4;4;2;2;4;77;62;90;76;76;73;81;83;93;71;85
52;17;2;4;2;;3;92;18;4;4;3;2;4;73;70;70;60;80;80;90;80;80;75;85
53;17;2;3;2;;2;;7;2;2;4;4;2;90;70;80;60;80;70;70;100;80;80;80
54;18;1;3;2;;2;;7;4;4;4;4;4;95;89;85;80;95;90;100;100;95;89;100
55;17;1;3;2;;3;22;1;3;3;2;4;2;70;75;85;60;80;90;90;90;70;75;80
56;18;1;4;2;;1;;2;3;3;3;2;;60;80;70;60;60;90;60;60;100;60;60
57;17;2;3;;;3;114;7;4;4;2;4;4;97;85;97;76;76;92;82;91;83;75;100
58;16;2;;1;;1;;;4;2;2;;;82;86;77;62;66;92;84;85;84;71;91
59;17;2;2;2;;2;;18;2;2;4;;;85;65;65;75;85;95;60;75;85;40;90
60;18;2;2;2;;2;;10;2;2;2;;;90;83;93;78;78;100;85;95;80;78;100
61;18;1;2;;;3;;11;3;3;3;;;70;55;67;60;59;59;77;60;73;33;85
62;17;2;2;1;;1;;18;2;4;2;2;2;85;65;75;75;85;95;75;95;85;65;85
63;18;2;2;1;;2;;7;4;4;4;4;4;80;70;80;80;90;90;80;90;70;60;90
64;17;2;2;2;;2;;18;2;2;2;2;;80;80;70;60;75;80;70;90;75;60;70
65;17;2;3;2;;2;;10;4;4;4;4;2;90;80;80;70;70;100;80;90;100;100;100
66;17;1;4;2;22;2;22;7;4;4;2;;;95;70;70;80;80;90;90;90;85;80;90
67;18;1;4;2;;2;;18;2;4;4;4;;81;51;80;66;83;60;82;89;76;51;90
68;18;1;3;3;92;2;85;2;3;3;3;4;3;90;85;90;75;85;80;95;95;80;75;75
69;19;1;2;2;;2;;1;2;3;2;4;4;87;90;85;72;62;89;90;43;65;76;88
70;17;2;3;2;;2;;18;2;4;2;4;2;76;78;65;60;80;90;73;79;86;60;79
71;18;1;4;3;83;3;20;18;3;2;2;3;3;97;83;99;68;81;91;92;90;85;79;88
72;17;2;2;;;2;;18;4;2;2;2;;80;80;70;70;80;90;80;90;70;60;80
73;17;2;3;1;;1;;7;4;4;2;4;2;80;70;90;70;80;90;90;90;70;60;100
74;17;2;4;;;3;83;7;4;2;4;2;4;85;65;85;65;70;95;75;75;85;65;75
75;17;2;2;2;;2;;;2;2;2;2;4;80;80;70;60;60;70;60;70;;65;80
76;17;2;2;2;;2;;1;2;4;4;2;2;88;78;78;56;62;85;86;77;88;65;87
77;17;1;4;3;55;3;104;1;3;3;3;;;85;85;90;85;85;85;85;85;85;85;85
78;17;1;4;1;;2;;2;3;3;3;2;3;65;88;88;78;75;83;73;83;;72;72
79;17;2;4;1;;1;;24;2;4;4;;;67;82;59;56;57;64;66;65;78;36;60
80;17;2;2;;;1;;7;2;2;2;;;80;85;70;90;60;95;65;75;65;95;95
81;18;2;2;;;1;;18;2;4;4;;;86;69;73;64;66;80;76;76;66;53;70
82;18;2;2;3;;1;;18;2;2;3;4;3;66;60;56;50;60;73;68;70;76;50;53
83;17;2;2;;;;;18;2;3;2;;;95;86;87;71;74;73;93;82;84;72;86
84;18;2;2;;;;;18;2;4;4;4;;60;70;90;70;80;90;;90;80;70;80
85;18;2;2;2;;2;;8;4;4;4;;;70;30;70;45;65;65;55;65;80;45;81
86;17;2;4;3;83;3;22;18;2;2;3;;;93;83;85;94;99;70;83;86;84;74;79
87;17;1;4;2;;3;22;9;4;4;4;4;4;90;70;80;70;80;100;90;90;100;70;70
88;19;1;3;2;;2;;9;3;4;4;4;2;70;70;80;80;70;90;80;80;80;60;70
89;17;2;2;;;;;1;3;2;4;;;75;85;95;65;65;95;95;75;65;65;85
90;17;1;2;;;2;;1;3;3;3;3;3;65;80;90;65;70;95;78;65;70;60;60
91;17;2;3;2;;2;;10;4;4;4;4;;80;70;80;70;90;90;90;90;70;90;90
92;17;1;3;3;41;2;;7;4;4;2;;;93;79;69;69;74;84;80;71;82;59;92
93;17;2;4;3;60;3;83;9;4;2;3;2;3;80;70;70;80;80;90;90;90;90;70;80
94;17;1;2;2;;2;;8;4;2;3;;;60;70;79;60;60;98;70;70;70;70;60
95;18;2;3;2;;2;;18;2;2;2;;;60;;60;60;60;80;70;70;80;70;70
96;18;2;4;2;;2;;9;4;4;4;4;;80;70;70;80;80;90;90;90;100;90;90
97;17;1;2;2;;2;;1;3;3;3;2;;83;72;77;75;67;95;88;69;70;93;96
98;16;1;4;3;77;2;;1;3;3;3;;;70;80;90;80;50;80;60;60;70;90;99
99;18;1;4;3;55;3;22;2;3;3;3;;;75;85;80;85;80;95;70;80;80;90;80
100;17;1;3;3;87;3;83;17;3;3;2;;;60;55;70;80;60;100;60;70;70;80;70
101;18;2;4;3;27;3;94;7;4;2;3;3;;100;60;70;70;60;100;90;80;90;90;100
102;17;1;4;3;55;3;83;1;3;3;4;3;3;65;75;80;80;65;85;85;70;65;90;80
103;17;2;2;3;;2;;18;4;4;3;2;2;80;70;60;80;75;90;90;85;75;85;95
104;18;1;4;2;;2;;7;4;2;2;3;4;70;65;70;85;65;90;80;85;69;100;90
105;17;1;3;2;;2;;;2;2;3;3;2;64;72;73;83;63;73;72;95;65;95;74
106;18;1;4;2;;2;;1;3;3;3;3;;65;78;80;70;59;90;80;75;85;90;80
107;17;1;2;2;;2;;;3;2;2;3;4;99;79;89;92;93;94;91;83;100;100;100
108;17;1;4;3;85;3;83;2;3;3;3;4;2;80;80;70;70;70;70;80;80;60;80;80
109;16;1;4;2;;1;;17;3;3;3;;;80;70;70;90;70;90;70;70;90;80;80
110;18;1;4;2;;2;;7;4;2;3;;;65;50;55;68;60;85;80;80;90;90;80
111;20;1;2;2;;1;;24;3;4;2;3;4;65;73;60;71;82;71;71;60;68;69;73
112;17;2;4;3;;3;106;18;2;4;2;3;;80;70;70;80;80;80;70;80;70;90;80
113;17;2;2;;;;;;2;4;4;4;2;85;30;90;15;70;;80;80;60;70;70
114;18;1;2;;;;;1;3;3;3;4;3;80;75;90;70;95;75;75;65;100;95;90
115;19;1;2;2;;3;33;1;3;4;3;3;;70;70;80;68;71;;70;75;90;72;71
116;26;2;1;1;;1;;;4;2;2;2;;70;70;90;75;98;;80;95;100;100;100
117;23;1;2;2;;2;;17;4;2;2;3;4;60;75;81;80;78;;80;85;82;100;100
118;19;1;3;3;20;3;104;9;4;4;4;4;4;80;70;70;70;80;100;90;90;100;100;100
119;18;1;3;2;;2;;1;2;2;2;3;;80;60;80;50;70;;70;100;90;100;100
120;18;2;2;2;;2;;12;4;4;2;2;;80;50;70;40;80;;80;100;80;90;90
